id,price
Beras Premium/Banten/2024-10-01,14833.235
Beras Premium/Banten/2024-10-02,14785.983
Beras Premium/Banten/2024-10-03,14706.461
Beras Premium/Banten/2024-10-04,14698.997
Beras Premium/Banten/2024-10-05,14620.537
Beras Premium/Banten/2024-10-06,14729.5625
Beras Premium/Banten/2024-10-07,14613.797
Beras Premium/Banten/2024-10-08,14605.287
Beras Premium/Banten/2024-10-09,14648.655
Beras Premium/Banten/2024-10-10,14659.15
Beras Premium/Banten/2024-10-11,14594.666
Beras Premium/Banten/2024-10-12,14620.584
Beras Premium/Banten/2024-10-13,14697.937
Beras Premium/Banten/2024-10-14,14719.04
Beras Premium/Banten/2024-10-15,14712.247
Beras Premium/Banten/2024-10-16,14782.285
Beras Premium/Banten/2024-10-17,14662.327
Beras Premium/Banten/2024-10-18,14676.359
Beras Premium/Banten/2024-10-19,14576.703
Beras Premium/Banten/2024-10-20,14629.75
Beras Premium/Banten/2024-10-21,14723.664
Beras Premium/Banten/2024-10-22,14772.679
Beras Premium/Banten/2024-10-23,14677.515
Beras Premium/Banten/2024-10-24,14634.26
Beras Premium/Banten/2024-10-25,14651.607
Beras Premium/Banten/2024-10-26,14609.01
Beras Premium/Banten/2024-10-27,14720.715
Beras Premium/Banten/2024-10-28,14900.069
Beras Premium/Banten/2024-10-29,14859.662
Beras Premium/Banten/2024-10-30,14768.75
Beras Premium/Banten/2024-10-31,14686.278
Beras Premium/Banten/2024-11-01,14671.168
Beras Premium/Banten/2024-11-02,14670.469
Beras Premium/Banten/2024-11-03,14743.231
Beras Premium/Banten/2024-11-04,14801.815
Beras Premium/Banten/2024-11-05,14774.39
Beras Premium/Banten/2024-11-06,14747.885
Beras Premium/Banten/2024-11-07,14489.064
Beras Premium/Banten/2024-11-08,14562.249
Beras Premium/Banten/2024-11-09,14614.797
Beras Premium/Banten/2024-11-10,14658.418
Beras Premium/Banten/2024-11-11,14763.335
Beras Premium/Banten/2024-11-12,14736.541
Beras Premium/Banten/2024-11-13,14786.118
Beras Premium/Banten/2024-11-14,14731.193
Beras Premium/Banten/2024-11-15,14739.431
Beras Premium/Banten/2024-11-16,14750.749
Beras Premium/Banten/2024-11-17,14739.23
Beras Premium/Banten/2024-11-18,14807.35
Beras Premium/Banten/2024-11-19,14747.715
Beras Premium/Banten/2024-11-20,14734.75
Beras Premium/Banten/2024-11-21,14577.233
Beras Premium/Banten/2024-11-22,14651.607
Beras Premium/Banten/2024-11-23,14625.359
Beras Premium/Banten/2024-11-24,14708.016
Beras Premium/Banten/2024-11-25,14738.082
Beras Premium/Banten/2024-11-26,14751.173
Beras Premium/Banten/2024-11-27,14710.107
Beras Premium/Banten/2024-11-28,14712.825
Beras Premium/Banten/2024-11-29,14694.997
Beras Premium/Banten/2024-11-30,14744.199
Beras Premium/Banten/2024-12-01,14711.784
Beras Premium/Banten/2024-12-02,14876.534
Beras Premium/Banten/2024-12-03,14809.686
Beras Premium/Banten/2024-12-04,14783.181
Beras Premium/Banten/2024-12-05,14695.304
Beras Premium/Banten/2024-12-06,14697.164
Beras Premium/Banten/2024-12-07,14423.327
Beras Premium/Banten/2024-12-08,14675.56
Beras Premium/Banten/2024-12-09,14683.751
Beras Premium/Banten/2024-12-10,14771.56
Beras Premium/Banten/2024-12-11,14756.081
Beras Premium/Banten/2024-12-12,14612.91
Beras Premium/Banten/2024-12-13,14694.297
Beras Premium/Banten/2024-12-14,14715.529
Beras Premium/Banten/2024-12-15,14720.029
Beras Premium/Banten/2024-12-16,14728.092
Beras Premium/Banten/2024-12-17,14700.767
Beras Premium/Banten/2024-12-18,14786.118
Beras Premium/Banten/2024-12-19,14546.341
Beras Premium/Banten/2024-12-20,14582.48
Beras Premium/Banten/2024-12-21,14546.653
Beras Premium/Banten/2024-12-22,14708.016
Beras Premium/Banten/2024-12-23,14663.512
Beras Premium/Banten/2024-12-24,14772.679
Beras Premium/Banten/2024-12-25,14656.008
Beras Premium/Banten/2024-12-26,14634.26
Beras Premium/Banten/2024-12-27,14647.431
Beras Premium/Banten/2024-12-28,14744.199
Beras Premium/Banten/2024-12-29,14752.489
Beras Premium/Banten/2024-12-30,14453.538
Beras Premium/Banten/2024-12-31,14484.035
